Sample	Sampling	Contig	PeakStart	PeakEnd	ReadCount	ReadDepth
12-15-15	EMPIRICAL	NZ_JH724079.1	67578	68312	13	11
12-15-15	EMPIRICAL	NZ_JH724079.1	274534	275268	18	10
12-15-15	EMPIRICAL	NZ_JH724079.1	524767	525501	25	13
12-15-15	EMPIRICAL	NZ_JH724079.1	552265	552999	246	82
12-15-15	EMPIRICAL	NZ_JH724079.1	598995	599729	375	83
12-15-15	EMPIRICAL	NZ_JH724079.1	647503	648237	12	10
12-15-15	EMPIRICAL	NZ_JH724079.1	657177	657911	1449	1269
12-15-15	EMPIRICAL	NZ_JH724079.1	787220	787954	24	15
12-15-15	EMPIRICAL	NZ_JH724079.1	794357	795091	370	77
12-15-15	EMPIRICAL	NZ_JH724079.1	824145	824879	11	6
12-15-15	EMPIRICAL	NZ_JH724079.1	868394	869128	399	70
12-15-15	EMPIRICAL	NZ_JH724079.1	914721	915455	20	19
12-15-15	EMPIRICAL	NZ_JH724079.1	1069096	1069830	210	45
12-15-15	EMPIRICAL	NZ_JH724079.1	1144079	1144813	30	17
12-15-15	EMPIRICAL	NZ_JH724079.1	1280280	1281014	10	10
12-15-15	EMPIRICAL	NZ_JH724079.1	1432260	1432994	64	25
12-15-15	EMPIRICAL	NZ_JH724079.1	1519955	1520689	23	11
12-15-15	EMPIRICAL	NZ_JH724079.1	1591290	1591834	1	1
12-15-15	EMPIRICAL	NZ_JH724079.1	1654364	1655098	9	8
12-15-15	EMPIRICAL	NZ_JH724079.1	1706122	1706856	14	9
12-15-15	EMPIRICAL	NZ_JH724079.1	1760420	1761531	144	53
12-15-15	EMPIRICAL	NZ_JH724079.1	1774169	1774903	121	26
12-15-15	EMPIRICAL	NZ_JH724079.1	1900536	1901270	19	8
12-15-15	EMPIRICAL	NZ_JH724079.1	1953115	1953849	24	11
12-15-15	EMPIRICAL	NZ_JH724079.1	2193257	2193991	10	9
12-15-15	EMPIRICAL	NZ_JH724079.1	2201194	2201928	8	5
12-15-15	EMPIRICAL	NZ_JH724079.1	2426945	2427679	74	18
12-15-15	EMPIRICAL	NZ_JH724079.1	2450764	2451498	10	4
12-15-15	EMPIRICAL	NZ_JH724079.1	2522236	2522970	42	10
12-15-15	EMPIRICAL	NZ_JH724079.1	2612400	2613134	32	11
12-15-15	EMPIRICAL	NZ_JH724079.1	2671944	2672678	8	5
12-15-15	EMPIRICAL	NZ_JH724079.1	2672739	2673283	87	22
12-15-15	EMPIRICAL	NZ_JH724079.1	2777994	2778819	124	70
12-15-15	EMPIRICAL	NZ_JH724079.1	2800643	2802111	394	64
12-15-15	EMPIRICAL	NZ_JH724079.1	2810204	2810748	0	0
12-15-15	EMPIRICAL	NZ_JH724079.1	2814259	2814993	23	10
12-15-15	EMPIRICAL	NZ_JH724079.1	2845458	2846192	8	7
12-15-15	EMPIRICAL	NZ_JH724079.1	2914172	2914906	105	24
12-15-15	EMPIRICAL	NZ_JH724079.1	2965860	2966594	35	13
12-15-15	EMPIRICAL	NZ_JH724079.1	3009281	3009825	7	2
12-15-15	EMPIRICAL	NZ_JH724079.1	3189492	3190226	52	14
12-15-15	EMPIRICAL	NZ_JH724079.1	3192465	3193199	16	11
12-15-15	EMPIRICAL	NZ_JH724079.1	3229626	3230170	4	2
12-15-15	EMPIRICAL	NZ_JH724079.1	3243529	3244263	182	59
12-15-15	EMPIRICAL	NZ_JH724079.1	3264057	3264791	23	7
12-15-15	EMPIRICAL	NZ_JH724079.1	3370840	3371894	451	97
12-15-15	EMPIRICAL	NZ_JH724079.1	3423299	3424033	70	19
12-15-15	EMPIRICAL	NZ_JH724079.1	3585192	3585926	11	5
12-15-15	EMPIRICAL	NZ_JH724079.1	3624887	3625621	24	14
12-15-15	EMPIRICAL	NZ_JH724079.1	3689041	3689775	10	8
12-15-15	EMPIRICAL	NZ_JH724079.1	3690787	3691331	0	0
12-15-15	EMPIRICAL	NZ_JH724079.1	3763406	3764140	46	23
12-15-15	EMPIRICAL	NZ_JH724079.1	3813584	3814318	8	5
12-15-15	EMPIRICAL	NZ_JH724079.1	3982480	3983214	38	32
12-15-15	EMPIRICAL	NZ_JH724079.1	4000331	4000875	2	1
12-15-15	EMPIRICAL	NZ_JH724080.1	96489	97542	261	94
12-15-15	EMPIRICAL	NZ_JH724080.1	133931	134665	21	13
12-15-15	EMPIRICAL	NZ_JH724080.1	196609	197153	1	1
