Sampling	Contig	PeakStart	PeakEnd	ReadCount	ReadDepth
EMPIRICAL	NZ_JH724079.1	117412	118412	274	54
EMPIRICAL	NZ_JH724079.1	130533	131446	280	60
EMPIRICAL	NZ_JH724079.1	435160	435660	14	12
EMPIRICAL	NZ_JH724079.1	491036	491975	288	64
EMPIRICAL	NZ_JH724079.1	935817	936317	258	60
EMPIRICAL	NZ_JH724079.1	1083887	1084387	272	56
EMPIRICAL	NZ_JH724079.1	1208134	1208641	286	66
EMPIRICAL	NZ_JH724079.1	1255341	1255841	98	22
EMPIRICAL	NZ_JH724079.1	1324954	1325454	250	58
EMPIRICAL	NZ_JH724079.1	1366425	1366925	288	66
EMPIRICAL	NZ_JH724079.1	1419141	1419641	296	62
EMPIRICAL	NZ_JH724079.1	1438935	1439436	62	58
EMPIRICAL	NZ_JH724079.1	1485553	1486053	270	72
EMPIRICAL	NZ_JH724079.1	1564741	1565241	238	50
EMPIRICAL	NZ_JH724079.1	1788568	1789068	258	62
EMPIRICAL	NZ_JH724079.1	1789069	1789569	64	48
EMPIRICAL	NZ_JH724079.1	1969285	1969785	258	64
EMPIRICAL	NZ_JH724079.1	1969786	1970286	42	38
EMPIRICAL	NZ_JH724079.1	1996344	1997344	240	54
EMPIRICAL	NZ_JH724079.1	2119697	2120197	128	28
EMPIRICAL	NZ_JH724079.1	2194529	2195029	129	34
EMPIRICAL	NZ_JH724079.1	2195030	2195530	21	17
EMPIRICAL	NZ_JH724079.1	2293742	2294242	114	28
EMPIRICAL	NZ_JH724079.1	2294252	2294752	18	12
EMPIRICAL	NZ_JH724079.1	2472749	2473249	155	33
EMPIRICAL	NZ_JH724079.1	2515591	2516091	138	35
EMPIRICAL	NZ_JH724079.1	2534325	2534825	152	31
EMPIRICAL	NZ_JH724079.1	2614934	2615434	138	35
EMPIRICAL	NZ_JH724079.1	2615441	2615941	22	19
EMPIRICAL	NZ_JH724079.1	2693424	2693924	139	37
EMPIRICAL	NZ_JH724079.1	2841183	2841683	144	32
EMPIRICAL	NZ_JH724079.1	2841691	2842191	14	14
EMPIRICAL	NZ_JH724079.1	2931085	2931585	135	32
EMPIRICAL	NZ_JH724079.1	3107435	3107935	135	32
EMPIRICAL	NZ_JH724079.1	3427333	3427833	139	33
EMPIRICAL	NZ_JH724079.1	3427841	3428341	18	17
EMPIRICAL	NZ_JH724079.1	3438829	3439329	132	34
EMPIRICAL	NZ_JH724079.1	3439330	3439830	31	27
EMPIRICAL	NZ_JH724079.1	3509756	3510256	137	33
EMPIRICAL	NZ_JH724079.1	3517283	3517783	16	5
EMPIRICAL	NZ_JH724079.1	3526515	3527015	164	35
EMPIRICAL	NZ_JH724079.1	3527018	3527518	18	18
EMPIRICAL	NZ_JH724079.1	3567889	3568389	138	29
EMPIRICAL	NZ_JH724079.1	3568396	3568896	32	27
EMPIRICAL	NZ_JH724079.1	3815529	3816029	152	32
EMPIRICAL	NZ_JH724079.1	3885703	3886203	127	39
EMPIRICAL	NZ_JH724079.1	3886206	3886706	36	24
EMPIRICAL	NZ_JH724079.1	3919515	3920015	110	27
EMPIRICAL	NZ_JH724080.1	93787	94287	152	37
EMPIRICAL	NZ_JH724080.1	210263	210763	33	29
EMPIRICAL	NZ_JH724080.1	234695	235195	24	20
EMPIRICAL	NZ_JH724080.1	295669	296169	20	17
EMPIRICAL	NZ_JH724080.1	390678	391178	29	22
EMPIRICAL	NZ_JH724081.1	23704	24204	124	32
EMPIRICAL	NZ_JH724081.1	209623	210123	127	34
EMPIRICAL	NZ_JH724081.1	330261	330761	136	30
EMPIRICAL	NZ_JH724081.1	429293	429793	117	27
EMPIRICAL	NZ_JH724082.1	26669	27169	152	36
EMPIRICAL	NZ_JH724082.1	34639	35139	18	18
BOOTSTRAP1	NZ_JH724079.1	117412	118412	272	69
BOOTSTRAP1	NZ_JH724079.1	130533	131446	262	69
BOOTSTRAP1	NZ_JH724079.1	435160	435660	18	17
BOOTSTRAP1	NZ_JH724079.1	491036	491975	276	61
BOOTSTRAP1	NZ_JH724079.1	935817	936317	251	70
BOOTSTRAP1	NZ_JH724079.1	1083887	1084387	268	57
BOOTSTRAP1	NZ_JH724079.1	1208134	1208641	264	58
BOOTSTRAP1	NZ_JH724079.1	1255341	1255841	92	26
BOOTSTRAP1	NZ_JH724079.1	1324954	1325454	236	67
BOOTSTRAP1	NZ_JH724079.1	1366425	1366925	319	68
BOOTSTRAP1	NZ_JH724079.1	1419141	1419641	311	71
BOOTSTRAP1	NZ_JH724079.1	1438935	1439436	64	60
BOOTSTRAP1	NZ_JH724079.1	1485553	1486053	272	69
BOOTSTRAP1	NZ_JH724079.1	1564741	1565241	225	50
BOOTSTRAP1	NZ_JH724079.1	1788568	1789068	263	69
BOOTSTRAP1	NZ_JH724079.1	1789069	1789569	76	58
BOOTSTRAP1	NZ_JH724079.1	1969285	1969785	244	68
BOOTSTRAP1	NZ_JH724079.1	1969786	1970286	33	29
BOOTSTRAP1	NZ_JH724079.1	1996344	1997344	252	64
BOOTSTRAP1	NZ_JH724079.1	2119697	2120197	134	34
BOOTSTRAP1	NZ_JH724079.1	2194529	2195029	116	33
BOOTSTRAP1	NZ_JH724079.1	2195030	2195530	31	25
BOOTSTRAP1	NZ_JH724079.1	2293742	2294242	104	31
BOOTSTRAP1	NZ_JH724079.1	2294252	2294752	15	10
BOOTSTRAP1	NZ_JH724079.1	2472749	2473249	161	36
BOOTSTRAP1	NZ_JH724079.1	2515591	2516091	132	39
BOOTSTRAP1	NZ_JH724079.1	2534325	2534825	149	36
BOOTSTRAP1	NZ_JH724079.1	2614934	2615434	139	40
BOOTSTRAP1	NZ_JH724079.1	2615441	2615941	15	13
BOOTSTRAP1	NZ_JH724079.1	2693424	2693924	132	38
BOOTSTRAP1	NZ_JH724079.1	2841183	2841683	146	37
BOOTSTRAP1	NZ_JH724079.1	2841691	2842191	14	14
BOOTSTRAP1	NZ_JH724079.1	2931085	2931585	143	34
BOOTSTRAP1	NZ_JH724079.1	3107435	3107935	140	39
BOOTSTRAP1	NZ_JH724079.1	3427333	3427833	132	32
BOOTSTRAP1	NZ_JH724079.1	3427841	3428341	18	18
BOOTSTRAP1	NZ_JH724079.1	3438829	3439329	126	36
BOOTSTRAP1	NZ_JH724079.1	3439330	3439830	29	25
BOOTSTRAP1	NZ_JH724079.1	3509756	3510256	125	41
BOOTSTRAP1	NZ_JH724079.1	3517283	3517783	15	8
BOOTSTRAP1	NZ_JH724079.1	3526515	3527015	178	37
BOOTSTRAP1	NZ_JH724079.1	3527018	3527518	21	21
BOOTSTRAP1	NZ_JH724079.1	3567889	3568389	153	44
BOOTSTRAP1	NZ_JH724079.1	3568396	3568896	37	30
BOOTSTRAP1	NZ_JH724079.1	3815529	3816029	147	35
BOOTSTRAP1	NZ_JH724079.1	3885703	3886203	121	41
BOOTSTRAP1	NZ_JH724079.1	3886206	3886706	29	19
BOOTSTRAP1	NZ_JH724079.1	3919515	3920015	124	32
BOOTSTRAP1	NZ_JH724080.1	93787	94287	132	40
BOOTSTRAP1	NZ_JH724080.1	210263	210763	37	34
BOOTSTRAP1	NZ_JH724080.1	234695	235195	18	16
BOOTSTRAP1	NZ_JH724080.1	295669	296169	16	14
BOOTSTRAP1	NZ_JH724080.1	390678	391178	32	21
BOOTSTRAP1	NZ_JH724081.1	23704	24204	127	39
BOOTSTRAP1	NZ_JH724081.1	209623	210123	122	33
BOOTSTRAP1	NZ_JH724081.1	330261	330761	154	48
BOOTSTRAP1	NZ_JH724081.1	429293	429793	127	31
BOOTSTRAP1	NZ_JH724082.1	26669	27169	157	39
BOOTSTRAP1	NZ_JH724082.1	34639	35139	16	16
BOOTSTRAP2	NZ_JH724079.1	117412	118412	299	59
BOOTSTRAP2	NZ_JH724079.1	130533	131446	285	66
BOOTSTRAP2	NZ_JH724079.1	435160	435660	18	16
BOOTSTRAP2	NZ_JH724079.1	491036	491975	286	72
BOOTSTRAP2	NZ_JH724079.1	935817	936317	245	64
BOOTSTRAP2	NZ_JH724079.1	1083887	1084387	273	62
BOOTSTRAP2	NZ_JH724079.1	1208134	1208641	274	58
BOOTSTRAP2	NZ_JH724079.1	1255341	1255841	89	22
BOOTSTRAP2	NZ_JH724079.1	1324954	1325454	248	63
BOOTSTRAP2	NZ_JH724079.1	1366425	1366925	290	76
BOOTSTRAP2	NZ_JH724079.1	1419141	1419641	265	55
BOOTSTRAP2	NZ_JH724079.1	1438935	1439436	71	68
BOOTSTRAP2	NZ_JH724079.1	1485553	1486053	281	76
BOOTSTRAP2	NZ_JH724079.1	1564741	1565241	229	51
BOOTSTRAP2	NZ_JH724079.1	1788568	1789068	281	64
BOOTSTRAP2	NZ_JH724079.1	1789069	1789569	73	58
BOOTSTRAP2	NZ_JH724079.1	1969285	1969785	237	58
BOOTSTRAP2	NZ_JH724079.1	1969786	1970286	43	39
BOOTSTRAP2	NZ_JH724079.1	1996344	1997344	245	58
BOOTSTRAP2	NZ_JH724079.1	2119697	2120197	138	30
BOOTSTRAP2	NZ_JH724079.1	2194529	2195029	110	36
BOOTSTRAP2	NZ_JH724079.1	2195030	2195530	14	12
