Contig	PeakStart	PeakEnd	MaxDepth	ReadCount
NZ_JH724080.1	410052	411052	426	1564
NZ_JH724080.1	196456	197272	26	109
NZ_JH724080.1	334184	335039	73	300
NZ_JH724080.1	96081	96935	76	230
NZ_JH724079.1	657452	658452	1596	2600
NZ_JH724079.1	3690618	3691438	30	113
NZ_JH724079.1	868248	869201	109	380
NZ_JH724079.1	1280538	1280739	949	950
NZ_JH724079.1	894247	894695	250	432
NZ_JH724079.1	914352	914935	18	19
NZ_JH724079.1	3243797	3244349	72	203
NZ_JH724079.1	3371000	3371971	108	331
NZ_JH724079.1	2800541	2801541	431	1909
NZ_JH724079.1	1288726	1289639	83	247
NZ_JH724079.1	3009065	3010065	528	2737
NZ_JH724079.1	878727	879676	117	386
NZ_JH724079.1	2777717	2778010	64	101
NZ_JH724079.1	794226	795226	78	321
NZ_JH724079.1	551848	552848	62	174
NZ_JH724079.1	1760245	1761242	513	1912
NZ_JH724079.1	891976	892673	489	1370
NZ_JH724079.1	3229735	3230361	253	642
NZ_JH724079.1	1069202	1069866	56	193
NZ_JH724079.1	823820	824765	22	55
NZ_JH724079.1	602512	603123	322	833
NZ_JH724079.1	516907	517817	58	281
NZ_JH724079.1	656001	656139	150	150
NZ_JH724079.1	1591013	1591925	72	308
NZ_JH724081.1	508445	509154	23	62
NZ_JH724081.1	308403	309403	355	992
NZ_JH724081.1	361583	362583	499	1997
